<article id="GID_1941_96" name="J.H. Scholte" birth-date="1874" birth-place="NA" death-date="1959" death-place="NA">
<sentence id="1">
Simplicius_simplicissimus_De_Dertigjarige_Oorlog	Simplicius_simplicissimus_De_Dertigjarige_Oorlog	SPEC(deeleigen)_SPEC(deeleigen)_SPEC(deeleigen)_SPEC(deeleigen)_SPEC(deeleigen)	1.0
kluizenaar	kluizenaar	N(soort,ev,basis,zijd,stan)	0.99823
:	:	LET()	1.0
‘	'	LET()	1.0
Wees	zijn	WW(pv,tgw,ev)	0.843137
kalm	kalm	ADJ(vrij,basis,zonder)	0.998464
,	,	LET()	1.0
mijn	mijn	VNW(bez,det,stan,vol,1,ev,prenom,zonder,agr)	0.999465
zoon	zoon	N(soort,ev,basis,zijd,stan)	0.999633
,	,	LET()	1.0
ik	ik	VNW(pers,pron,nomin,vol,1,ev)	0.999944
doe	doen	WW(pv,tgw,ev)	0.998682
je	je	VNW(pers,pron,nomin,red,2v,ev)	0.935484
niets	niets	VNW(onbep,pron,stan,vol,3o,ev)	0.997921
,	,	LET()	1.0
’	'	LET()	1.0
hadden	hebben	WW(pv,verl,mv)	0.998698
niet	niet	BW()	0.999918
veel	veel	VNW(onbep,grad,stan,prenom,zonder,agr,basis)	0.969231
invloed	invloed	N(soort,ev,basis,zijd,stan)	0.995349
.	.	LET()	1.0
</sentence>
<sentence id="23">
Hij	hij	VNW(pers,pron,nomin,vol,3,ev,masc)	0.999431
bleef	blijven	WW(pv,verl,ev)	0.997812
angstig	angstig	ADJ(vrij,basis,zonder)	0.917772
en	en	VG(neven)	0.999194
duchtte	duchtte	ADJ(prenom,basis,met-e,stan)	0.444444
gevaar	gevaar	N(soort,ev,basis,onz,stan)	0.997008
.	.	LET()	1.0
</sentence>
<sentence id="24">
‘	'	LET()	1.0
Deze	deze	VNW(aanw,det,stan,prenom,met-e,rest)	0.80678
toestand	toestand	N(soort,ev,basis,zijd,stan)	0.999633
,	,	LET()	1.0
’	'	LET()	1.0
vertelt	vertellen	WW(pv,tgw,met-t)	0.998984
hij	hij	VNW(pers,pron,nomin,vol,3,ev,masc)	0.999659
